year,gtc
1750,0.009351
1751,0.009351
1752,0.009354
1753,0.009354
1754,0.009358
1755,0.009362
1756,0.010006
1757,0.010010
1758,0.010014
1759,0.010017
1760,0.010017
1761,0.010974
1762,0.010977
1763,0.010981
1764,0.010985
1765,0.010988
1766,0.012260
1767,0.012263
1768,0.012267
1769,0.012271
1770,0.012274
1771,0.013612
1772,0.013615
1773,0.013619
1774,0.013623
1775,0.013626
1776,0.015037
1777,0.015041
1778,0.015044
1779,0.015048
1780,0.015055
1781,0.016843
1782,0.016847
1783,0.016854
1784,0.016858
1785,0.016869
1786,0.019152
1787,0.019159
1788,0.019163
1789,0.019170
1790,0.019177
1791,0.021420
1792,0.021896
1793,0.021914
1794,0.021881
1795,0.021892
1796,0.022951
1797,0.024094
1798,0.025095
1799,0.026428
1800,0.028092
1801,0.027960
1802,0.036783
1803,0.031488
1804,0.034310
1805,0.033419
1806,0.035046
1807,0.036874
1808,0.035064
1809,0.035090
1810,0.037380
1811,0.039582
1812,0.041007
1813,0.041220
1814,0.042129
1815,0.043488
1816,0.047665
1817,0.049431
1818,0.049644
1819,0.049948
1820,0.050688
1821,0.051435
1822,0.053465
1823,0.056550
1824,0.058525
1825,0.060756
1826,0.061420
1827,0.065915
1828,0.066637
1829,0.066395
1830,0.089123
1831,0.084528
1832,0.085111
1833,0.086807
1834,0.088486
1835,0.090446
1836,0.104776
1837,0.104691
1838,0.108044
1839,0.111613
1840,0.118930
1841,0.122619
1842,0.129504
1843,0.132853
1844,0.141423
1845,0.155211
1846,0.157794
1847,0.172402
1848,0.173816
1849,0.183511
1850,0.196896
1851,0.198805
1852,0.207551
1853,0.217209
1854,0.255139
1855,0.260166
1856,0.277292
1857,0.279889
1858,0.284172
1859,0.301313
1860,0.330642
1861,0.347735
1862,0.354058
1863,0.377860
1864,0.407091
1865,0.432308
1866,0.445971
1867,0.477815
1868,0.490752
1869,0.521131
1870,0.532537
1871,0.566143
1872,0.626372
1873,0.665419
1874,0.622997
1875,0.675799
1876,0.685553
1877,0.699099
1878,0.704383
1879,0.754870
1880,0.853708
1881,0.882408
1882,0.931925
1883,0.991036
1884,1.002179
1885,1.009675
1886,1.025480
1887,1.076762
1888,1.192277
1889,1.191805
1890,1.298465
1891,1.358881
1892,1.370085
1893,1.353676
1894,1.400866
1895,1.485283
1896,1.533713
1897,1.606313
1898,1.694280
1899,1.850909
1900,1.953614
1901,2.018421
1902,2.069946
1903,2.258613
1904,2.282759
1905,2.431145
1906,2.554215
1907,2.887833
1908,2.779288
1909,2.890654
1910,3.032156
1911,3.087264
1912,3.233403
1913,3.498266
1914,3.173996
1915,3.130389
1916,3.378662
1917,3.533556
1918,3.483435
1919,3.019921
1920,3.513395
1921,3.083123
1922,3.234231
1923,3.670605
1924,3.682986
1925,3.709804
1926,3.642200
1927,3.978374
1928,3.959653
1929,4.252190
1930,3.919399
1931,3.502982
1932,3.157845
1933,3.324972
1934,3.616315
1935,3.794457
1936,4.168554
1937,4.456655
1938,4.193546
1939,4.435793
1940,4.847084
1941,4.955476
1942,4.935659
1943,5.018865
1944,5.101040
1945,4.240829
1946,4.629673
1947,5.125894
1948,5.396503
1949,5.239276
1950,5.998350
1951,6.373785
1952,6.460163
1953,6.641785
1954,6.784944
1955,7.437038
1956,7.917910
1957,8.179340
1958,8.412113
1959,8.848509
1960,9.334894
1961,9.356003
1962,9.687509
1963,10.236031
1964,10.769609
1965,11.269289
1966,11.793838
1967,12.171497
1968,12.835996
1969,13.691842
1970,14.826863
1971,15.425831
1972,16.142605
1973,17.000713
1974,16.925872
1975,16.902973
1976,17.799760
1977,18.287936
1978,18.958832
1979,19.464238
1980,19.369452
1981,18.841367
1982,18.700965
1983,18.876275
1984,19.426234
1985,20.116824
1986,20.401695
1987,21.062704
1988,21.865971
1989,22.193362
1990,22.697612
1991,23.169529
1992,22.444951
1993,22.682603
1994,22.843788
1995,23.332159
1996,24.050844
1997,24.191148
1998,24.112119
1999,24.431051
2000,25.119042
2001,25.332203
2002,25.911186
2003,27.176184
2004,28.470451
2005,29.410889
2006,30.374554
2007,31.293862
2008,31.946034
2009,31.464200
2010,33.131911
2011,34.209583
2012,34.760008
2013,34.987264
2014,35.244868
2015,35.209447
2016,35.220412
2017,35.696349
2018,36.419712
2019,36.441388
2020,39.804013
2030,34.734424
2040,26.509183
2050,17.963539
2060,10.527979
2070,4.476328
2080,-3.285043
2090,-8.385183
2100,-8.617786
